UniProt,domain_start,domain_end,Length,S_over_T_mean,S_over_T_pval,quantile,refoldable,subcellular_localization,average_KD_hydro,A_SASA_count,C_SASA_count,D_SASA_count,E_SASA_count,F_SASA_count,G_SASA_count,H_SASA_count,I_SASA_count,K_SASA_count,L_SASA_count,M_SASA_count,N_SASA_count,P_SASA_count,Q_SASA_count,R_SASA_count,S_SASA_count,T_SASA_count,V_SASA_count,W_SASA_count,Y_SASA_count,fraction DE,fraction KR,fraction AGP,fraction WYF,fraction ILVM,fraction polar,No. of Peptides,No. of Significant Peptides,,,,,,,,,,,
Q12157,39,125,86,0.1593,0.000698,6, nan, ,3.421,2,0,3,3,1,5,1,2,3,1,2,1,3,4,4,3,2,3,0,0,0.139534884,0.162790698,0.23255814,0.023255814,0.186046512,0.255813953,,,,,,,,,,,,,
P30657,39,246,207,0.4333,0.006554,78, True, nucleus; cytoplasm,3.021,4,0,6,7,2,10,1,0,6,4,1,5,4,4,8,6,7,3,1,7,0.151162791,0.162790698,0.209302326,0.11627907,0.093023256,0.26744186,10,0,,,,,,,,,,,
P48524,239,568,329,0.1408,0.002531,6, nan, cytoplasm,3.605,7,1,17,9,4,16,4,10,23,15,3,11,5,9,5,13,8,8,0,4,0.151162791,0.162790698,0.162790698,0.046511628,0.209302326,0.26744186,,,,,,,,,,,,,
P25366,7,67,60,0.2489,0.0016,42, False, ,3.758,1,1,2,5,4,4,0,4,4,1,1,1,0,1,3,6,4,0,0,1,0.162790698,0.162790698,0.11627907,0.11627907,0.139534884,0.302325581,,,,,,,,,,,,,
P27636,338,546,208,0.2218,0.000126,30, nan, bud neck; cytoplasm; cytoskeleton; spindle pole,3.169,3,1,9,5,3,3,6,5,10,3,0,3,5,3,4,12,6,2,0,3,0.162790698,0.162790698,0.127906977,0.069767442,0.11627907,0.360465116,,,,,,,,,,,,,
P35192,73,131,58,0.3123,0.002402,66, nan, nucleus,3.412,4,0,3,4,3,3,2,1,4,2,1,3,2,2,3,1,3,2,0,0,0.162790698,0.162790698,0.209302326,0.069767442,0.139534884,0.255813953,,,,,,,,,,,,,
P23060,12,357,345,0.4168,0.000313,78, nan, ,2.831,3,0,15,9,4,25,3,1,16,6,0,9,4,5,5,16,4,1,0,3,0.186046512,0.162790698,0.248062016,0.054263566,0.062015504,0.286821705,,,,,,,,,,,,,
P25369,214,292,78,0.4095,0.001256,78, nan, cytoplasm; cell cortex; cytoplasm; cytoskeleton,3.551,4,0,4,4,1,4,1,3,3,3,0,1,1,2,4,4,3,1,0,0,0.186046512,0.162790698,0.209302326,0.023255814,0.162790698,0.255813953,1,0,,,,,,,,,,,
Q02204,117,242,125,0.2366,0.000116,42, nan, mitochondrion,3.198,4,0,11,5,2,2,1,3,12,5,1,6,5,4,2,9,5,4,0,5,0.186046512,0.162790698,0.127906977,0.081395349,0.151162791,0.290697674,,,,,,,,,,,,,
Q06504,4,190,186,0.1823,0.00056,18, nan, cytoplasm,3.148,2,0,8,9,2,5,2,4,8,4,2,8,9,2,6,4,5,5,0,1,0.197674419,0.162790698,0.186046512,0.034883721,0.174418605,0.244186047,,,,,,,,,,,,,
P07264,10,501,491,0.4123,0.000364,78, False, ,2.819,14,0,11,25,1,36,2,3,24,3,0,8,7,10,4,13,7,2,0,2,0.209302326,0.162790698,0.331395349,0.01744186,0.046511628,0.23255814,36,0,,,,,,,,,,,
P38845,11,92,81,0.3853,0.001462,78, True, ,3.379,3,0,6,3,0,5,1,2,6,1,0,1,3,0,1,3,4,3,1,0,0.209302326,0.162790698,0.255813953,0.023255814,0.139534884,0.209302326,5,0,,,,,,,,,,,
Q12214,2,467,465,0.2116,0.013327,30, nan, nucleus,2.599,4,3,17,20,1,21,0,4,16,4,4,22,7,10,12,12,8,3,0,4,0.215116279,0.162790698,0.186046512,0.029069767,0.087209302,0.319767442,,,,,,,,,,,,,
P39692,5,1032,1027,0.3038,0.000035,54, True, ,2.952,29,0,38,50,2,50,5,9,51,14,0,27,18,9,12,37,18,12,2,4,0.227390181,0.162790698,0.250645995,0.020671835,0.090439276,0.248062016,4,0,,,,,,,,,,,
P38858,6,243,237,0.4258,0.000063,78, True, nucleus; cytoplasm,2.648,5,0,11,9,0,10,0,1,11,2,0,4,5,5,3,14,5,1,0,0,0.23255814,0.162790698,0.23255814,0,0.046511628,0.325581395,7,0,,,,,,,,,,,
P43588,186,290,104,0.3137,0.000103,66, False, ,3.008,5,0,3,17,0,3,4,2,12,7,3,5,0,4,2,6,5,2,1,5,0.23255814,0.162790698,0.093023256,0.069767442,0.162790698,0.279069767,4,0,,,,,,,,,,,
P54885,4,434,430,0.4979,0.000354,90, False, ,2.947,12,1,22,20,2,30,2,5,21,4,1,6,2,10,7,9,7,5,1,5,0.244186047,0.162790698,0.255813953,0.046511628,0.087209302,0.203488372,23,0,,,,,,,,,,,
P04147,500,569,69,0.1874,0.000098,18, False, nucleus; cytoplasm,2.421,4,0,2,9,2,3,0,0,6,1,0,1,2,8,1,3,0,0,0,1,0.255813953,0.162790698,0.209302326,0.069767442,0.023255814,0.279069767,2,0,,,,,,,,,,,
P47035,70,142,72,0.0916,0.000197,6, nan, nucleus; nucleolus,3.133,0,1,7,4,3,1,0,2,5,3,1,5,3,1,2,2,2,1,0,0,0.255813953,0.162790698,0.093023256,0.069767442,0.162790698,0.255813953,,,,,,,,,,,,,
P31787,5,81,76,0.9431,0.66081,90, False, ,2.565,1,0,6,8,1,3,0,2,7,0,1,3,1,2,0,2,3,1,0,2,0.325581395,0.162790698,0.11627907,0.069767442,0.093023256,0.23255814,13,3,,,,,,,,,,,
Q01454,476,921,445,0.3213,0.000049,66, True, nucleus,2.927,13,0,10,29,4,18,4,4,21,5,3,14,10,5,8,15,6,5,0,4,0.219101124,0.162921348,0.230337079,0.04494382,0.095505618,0.247191011,2,0,,,,,,,,,,,
P36117,270,521,251,0.1971,0.000623,18, nan, cytoplasm,3.144,5,1,11,11,8,10,5,6,16,7,0,10,10,5,6,13,6,1,0,4,0.162962963,0.162962963,0.185185185,0.088888889,0.103703704,0.296296296,,,,,,,,,,,,,
P53040,223,513,290,0.1775,0.000354,18, False, nucleus,2.727,7,0,12,15,4,12,5,3,15,4,1,7,6,11,7,13,10,1,0,2,0.2,0.162962963,0.185185185,0.044444444,0.066666667,0.340740741,1,1,,,,,,,,,,,
P00890,92,467,375,0.3444,0.000093,66, False, mitochondrion matrix,3.077,13,0,8,20,1,26,3,1,18,3,0,4,7,2,4,8,8,5,1,3,0.207407407,0.162962963,0.340740741,0.037037037,0.066666667,0.185185185,8,1,,,,,,,,,,,
P53941,7,276,269,0.1336,0,6, nan, nucleus; nucleolus,3.01,10,0,15,15,0,12,3,5,12,6,1,8,4,12,10,7,4,8,0,3,0.222222222,0.162962963,0.192592593,0.022222222,0.148148148,0.251851852,,,,,,,,,,,,,
Q05946,4,792,788,0.1606,0.000053,6, True, nucleus; nucleolus,2.877,7,3,29,43,2,42,3,11,39,12,5,25,10,15,13,26,21,9,0,4,0.225705329,0.163009404,0.184952978,0.018808777,0.115987461,0.29153605,3,3,,,,,,,,,,,
P53849,6,145,139,0.237,6.00E-06,42, False, cytoplasm,2.733,1,1,7,9,3,13,2,2,8,1,3,6,5,5,7,7,7,0,0,5,0.173913043,0.163043478,0.206521739,0.086956522,0.065217391,0.304347826,8,2,,,,,,,,,,,
Q06053,95,222,127,0.2511,0.000264,42, True, nucleus; cytoplasm,3.501,1,0,8,9,4,5,3,10,10,4,1,6,6,3,5,10,3,4,0,0,0.184782609,0.163043478,0.130434783,0.043478261,0.206521739,0.27173913,1,0,,,,,,,,,,,
P53086,150,693,543,0.2043,6.00E-06,30, False, cytoplasm; cytoskeleton,3.07,9,1,18,35,1,16,9,11,20,19,6,18,9,17,25,25,20,10,0,7,0.192028986,0.163043478,0.123188406,0.028985507,0.166666667,0.326086957,,,,,,,,,,,,,
P04161,3,209,206,0.4857,0.000475,90, True, ,2.896,5,1,7,12,0,12,2,3,14,2,1,3,5,8,1,5,5,3,0,3,0.206521739,0.163043478,0.239130435,0.032608696,0.097826087,0.260869565,4,2,,,,,,,,,,,
P38238,8,226,218,0.3106,8.00E-06,66, True, cytoplasm,2.77,2,1,14,5,1,10,4,0,8,5,1,5,7,4,7,6,6,3,0,3,0.206521739,0.163043478,0.206521739,0.043478261,0.097826087,0.282608696,2,0,,,,,,,,,,,
Q02336,5,303,298,0.1674,0.000066,18, nan, nucleus,2.972,9,3,15,26,3,10,7,7,16,10,1,7,16,11,14,8,9,5,0,7,0.222826087,0.163043478,0.190217391,0.054347826,0.125,0.244565217,,,,,,,,,,,,,
P43612,653,844,191,0.399,0.000606,78, False, cytoplasm,3.265,0,0,10,11,4,6,1,5,9,4,4,6,3,5,6,4,4,6,1,3,0.22826087,0.163043478,0.097826087,0.086956522,0.206521739,0.217391304,,,,,,,,,,,,,
P40433,160,787,627,0.2983,0.000747,54, nan, ,3.001,19,0,24,25,5,32,4,9,36,14,3,38,22,13,17,35,15,9,0,5,0.150769231,0.163076923,0.224615385,0.030769231,0.107692308,0.323076923,,,,,,,,,,,,,
P41697,513,768,255,0.171,0.001708,18, nan, ,3.578,10,3,18,29,9,7,2,12,26,23,5,17,6,13,12,18,8,12,2,1,0.201716738,0.163090129,0.098712446,0.051502146,0.223175966,0.261802575,1,0,,,,,,,,,,,
Q07993,7,352,345,0.2527,0.071503,42, nan, ,2.946,5,0,9,16,2,30,5,2,16,5,1,6,10,4,7,12,7,3,0,1,0.177304965,0.163120567,0.319148936,0.021276596,0.078014184,0.241134752,,,,,,,,,,,,,
P07269,182,275,93,0.3083,0.00004,66, nan, nucleus,3.204,3,1,1,1,2,2,0,1,3,2,2,10,3,2,5,7,2,1,0,1,0.040816327,0.163265306,0.163265306,0.06122449,0.12244898,0.448979592,,,,,,,,,,,,,
P21657,531,745,214,0.4121,0.052898,78, nan, nucleus,3.396,4,1,4,6,4,7,2,5,11,5,3,10,6,6,5,5,7,3,1,3,0.102040816,0.163265306,0.173469388,0.081632653,0.163265306,0.316326531,,,,,,,,,,,,,
P07250,7,69,62,0.5402,0.00605,90, nan, nucleus,3.927,6,0,4,2,3,5,2,1,4,4,0,0,3,2,4,4,1,3,1,0,0.12244898,0.163265306,0.285714286,0.081632653,0.163265306,0.183673469,,,,,,,,,,,,,
P10869,356,520,164,0.5319,0.000074,90, True, ,3.158,7,0,7,9,1,7,5,7,12,4,0,8,1,7,4,7,8,3,0,1,0.163265306,0.163265306,0.153061224,0.020408163,0.142857143,0.357142857,5,0,,,,,,,,,,,
P43554,27,244,217,0.2206,0.000979,30, nan, nucleus,3.051,5,0,6,12,4,9,3,4,13,4,1,6,5,7,3,8,4,2,0,2,0.183673469,0.163265306,0.193877551,0.06122449,0.112244898,0.285714286,,,,,,,,,,,,,
P40002,5,84,79,0.322,0.046276,66, nan, nucleus; cytoplasm,3.696,0,0,4,6,1,6,0,4,6,6,0,0,3,1,2,4,1,1,0,4,0.204081633,0.163265306,0.183673469,0.102040816,0.224489796,0.12244898,,,,,,,,,,,,,
Q12418,341,417,76,0.1109,0.001159,6, nan, nucleus; cytoplasm,2.816,0,0,6,6,1,1,2,2,5,3,1,4,2,1,3,6,2,1,2,1,0.244897959,0.163265306,0.06122449,0.081632653,0.142857143,0.306122449,,,,,,,,,,,,,
P07149,1135,2041,906,0.3587,0.000987,66, False, ,2.965,13,0,30,41,4,48,8,8,44,11,4,29,21,14,14,26,16,20,1,3,0.2,0.163380282,0.230985915,0.022535211,0.121126761,0.261971831,116,0,,,,,,,,,,,
Q12283,99,351,252,0.2766,0.001393,54, False, mitochondrion,2.929,3,0,8,6,2,7,4,0,8,5,2,12,8,2,9,10,8,5,0,5,0.134615385,0.163461538,0.173076923,0.067307692,0.115384615,0.346153846,1,0,,,,,,,,,,,
Q06146,72,175,103,0.4333,0.000032,78, False, cytoplasm,3.458,5,0,11,12,1,3,1,6,10,11,0,7,3,1,7,16,5,4,0,1,0.221153846,0.163461538,0.105769231,0.019230769,0.201923077,0.288461538,,,,,,,,,,,,,
P38910,15,98,83,0.5606,0.008215,90, False, mitochondrion matrix,3.335,5,0,2,5,2,8,0,0,7,4,0,5,2,5,2,2,2,3,0,1,0.127272727,0.163636364,0.272727273,0.054545455,0.127272727,0.254545455,11,3,,,,,,,,,,,
P53886,30,220,190,0.1711,0.0034,18, nan, cytoplasm; nucleus; cytoplasm; cytoskeleton; spindle pole,3.532,2,3,10,4,4,14,1,7,12,7,2,8,4,5,6,9,7,2,1,2,0.127272727,0.163636364,0.181818182,0.063636364,0.163636364,0.3,,,,,,,,,,,,,
P12611,153,312,159,0.2448,0.00009,42, False, ,2.896,6,1,6,12,3,7,3,3,13,4,2,7,2,13,5,11,7,2,1,2,0.163636364,0.163636364,0.136363636,0.054545455,0.1,0.381818182,1,0,,,,,,,,,,,
P22276,43,1050,1007,0.1901,1.00E-06,18, True, nucleus,3.162,21,2,34,31,5,63,8,5,43,19,6,21,13,20,20,24,21,17,1,11,0.168831169,0.163636364,0.251948052,0.044155844,0.122077922,0.249350649,2,1,,,,,,,,,,,
P10662,128,311,183,0.2321,0.000677,42, nan, mitochondrion,3.201,6,0,7,12,4,10,0,4,10,5,6,10,1,7,8,7,8,2,0,3,0.172727273,0.163636364,0.154545455,0.063636364,0.154545455,0.290909091,,,,,,,,,,,,,
P31376,444,503,59,0.2259,0.012072,30, False, nucleus,4.011,1,0,2,8,3,1,2,8,8,3,0,1,0,3,1,2,3,4,1,4,0.181818182,0.163636364,0.036363636,0.145454545,0.272727273,0.2,,,,,,,,,,,,,
P50942,161,904,743,0.2633,0.000088,54, nan, cytoplasm; cytoskeleton; actin patch,2.898,12,1,26,28,6,35,7,6,27,11,2,16,10,13,18,23,17,5,0,12,0.196363636,0.163636364,0.207272727,0.065454545,0.087272727,0.28,1,0,,,,,,,,,,,
P53091,111,197,86,0.1638,7.00E-06,18, nan, nucleus,2.931,4,0,4,7,2,2,0,1,4,1,2,3,2,5,5,3,3,2,0,5,0.2,0.163636364,0.145454545,0.127272727,0.109090909,0.254545455,,,,,,,,,,,,,
P52892,46,501,455,0.2391,4.00E-06,42, nan, nucleus; cytoplasm,2.731,4,1,14,24,0,28,3,2,20,8,0,8,9,11,7,13,5,5,0,3,0.23030303,0.163636364,0.248484848,0.018181818,0.090909091,0.248484848,,,,,,,,,,,,,
P54790,520,609,89,0.2035,0.006967,30, nan, nucleus,2.971,1,0,5,8,3,2,0,1,7,4,3,4,3,3,2,3,4,0,0,2,0.236363636,0.163636364,0.109090909,0.090909091,0.145454545,0.254545455,,,,,,,,,,,,,
P53090,59,495,436,0.3534,0.000023,66, True, cytoplasm,2.975,14,0,14,19,1,24,3,3,24,5,1,9,13,7,4,16,5,5,1,3,0.192982456,0.16374269,0.298245614,0.029239766,0.081871345,0.233918129,47,0,,,,,,,,,,,
P21826,11,541,530,0.5464,0.004771,90, nan, peroxisome matrix,2.789,12,0,22,18,2,24,2,5,21,3,1,11,11,7,7,9,10,3,0,3,0.233918129,0.16374269,0.274853801,0.029239766,0.070175439,0.228070175,,,,,,,,,,,,,
P13711,14,702,688,0.3408,0.226423,66, nan, peroxisome,3.066,15,1,23,12,5,36,3,4,29,6,2,14,13,14,9,19,16,7,1,3,0.150862069,0.163793103,0.275862069,0.038793103,0.081896552,0.288793103,,,,,,,,,,,,,
Q08496,424,730,306,0.2096,0.006978,30, nan, nucleus,3.023,5,0,9,11,3,9,2,5,12,5,4,11,6,11,7,7,4,4,0,1,0.172413793,0.163793103,0.172413793,0.034482759,0.155172414,0.301724138,,,,,,,,,,,,,
Q12429,1,678,677,0.326,0.000135,66, False, cytoplasm,2.54,5,1,25,30,2,35,4,6,28,6,1,25,5,15,10,16,11,5,0,2,0.237068966,0.163793103,0.193965517,0.017241379,0.077586207,0.310344828,1,0,,,,,,,,,,,
P32807,29,288,259,0.2995,0.001992,54, nan, nucleus; chromosome; telomere,2.953,3,1,15,14,2,10,1,5,13,4,3,4,4,7,6,11,7,3,0,3,0.25,0.163793103,0.146551724,0.043103448,0.129310345,0.267241379,,,,,,,,,,,,,
P27616,3,299,296,0.4733,0.000349,90, True, ,2.639,9,0,13,20,0,16,2,0,17,3,0,6,8,4,2,5,7,4,0,0,0.284482759,0.163793103,0.284482759,0,0.060344828,0.206896552,12,0,,,,,,,,,,,
P10964,314,1332,1018,0.2077,0.000859,30, False, nucleus; nucleolus,3.435,33,5,37,42,13,55,9,15,63,25,9,34,26,22,25,47,32,33,1,11,0.147113594,0.163873371,0.212290503,0.046554935,0.152700186,0.277467412,16,6,,,,,,,,,,,
P11154,19,1168,1149,0.3885,0.000387,78, True, cytoplasm,2.857,24,0,39,43,1,84,7,6,41,12,5,26,18,25,28,25,22,13,0,2,0.194774347,0.163895487,0.299287411,0.007125891,0.085510689,0.249406176,5,0,,,,,,,,,,,
P48524,900,973,73,0.1408,0.002531,6, nan, cytoplasm,4.131,2,4,4,4,4,1,1,5,6,5,1,4,3,3,4,2,2,4,1,1,0.131147541,0.163934426,0.098360656,0.098360656,0.245901639,0.262295082,,,,,,,,,,,,,
P32832,123,249,126,0.2021,0.000958,30, True, nucleus,2.93,1,0,5,5,0,10,1,2,4,4,0,4,4,3,6,2,5,1,0,4,0.163934426,0.163934426,0.245901639,0.06557377,0.114754098,0.245901639,,,,,,,,,,,,,
Q12440,462,539,77,0.2167,0.003136,30, nan, nucleus; cytoplasm,3.998,1,0,4,6,4,1,0,6,5,7,1,4,3,0,5,3,4,2,1,4,0.163934426,0.163934426,0.081967213,0.147540984,0.262295082,0.180327869,,,,,,,,,,,,,
P25649,7,82,75,0.2354,0.020592,42, nan, nucleus; cytoplasm,3.275,2,1,6,7,3,0,3,2,5,6,0,3,0,7,5,2,4,4,0,1,0.213114754,0.163934426,0.032786885,0.06557377,0.196721311,0.327868852,,,,,,,,,,,,,
Q05911,14,472,458,0.3405,0.000186,66, False, ,2.938,17,0,13,27,2,19,7,3,18,4,3,7,5,10,12,16,8,7,2,3,0.218579235,0.163934426,0.224043716,0.038251366,0.092896175,0.262295082,27,0,,,,,,,,,,,
P38115,11,341,330,0.6281,0.00585,90, False, cytoplasm,2.606,5,0,12,21,1,17,4,1,16,4,2,9,10,2,4,7,3,3,0,1,0.270491803,0.163934426,0.262295082,0.016393443,0.081967213,0.204918033,25,2,,,,,,,,,,,
P39009,195,509,314,0.252,0.000054,42, False, nucleus,2.766,2,2,13,11,2,11,2,2,17,7,2,8,6,16,4,9,10,3,0,1,0.1875,0.1640625,0.1484375,0.0234375,0.109375,0.3671875,1,0,,,,,,,,,,,
Q04533,303,645,342,0.4128,0.001012,78, nan, ,2.884,4,1,14,15,1,23,5,5,12,5,1,6,5,4,9,10,2,2,1,3,0.2265625,0.1640625,0.25,0.0390625,0.1015625,0.21875,,,,,,,,,,,,,
Q08162,39,499,460,0.2618,0.000032,42, False, nucleus; nucleolus; cytoplasm; mitochondrion,2.729,8,0,26,17,3,11,5,3,16,7,3,14,14,11,16,19,11,7,0,4,0.220512821,0.164102564,0.169230769,0.035897436,0.102564103,0.307692308,3,1,,,,,,,,,,,
P38883,11,477,466,0.1885,0.005625,18, False, nucleus,3.015,10,1,9,18,5,18,7,8,24,7,0,17,10,11,9,27,13,3,0,4,0.134328358,0.164179104,0.189054726,0.044776119,0.089552239,0.378109453,2,1,,,,,,,,,,,
Q08732,203,464,261,0.2522,4.00E-06,42, True, cytoplasm,3.477,5,6,10,10,2,17,6,3,16,6,4,3,7,4,6,11,7,7,0,4,0.149253731,0.164179104,0.21641791,0.044776119,0.149253731,0.276119403,1,0,,,,,,,,,,,
Q05080,556,664,108,0.345,0.016676,66, nan, bud neck; cytoplasm; cytoskeleton,3.36,1,0,5,6,1,10,0,7,5,1,2,5,4,2,6,4,4,2,0,2,0.164179104,0.164179104,0.223880597,0.044776119,0.179104478,0.223880597,,,,,,,,,,,,,
P25644,468,786,318,0.1833,0.001914,18, True, cytoplasm; stress granule; nucleus; cytoplasm; cytoplasm; p-body; chromosome; centromere; kinetochore,2.779,3,0,14,12,1,7,1,2,15,11,1,13,5,12,7,15,10,3,0,2,0.194029851,0.164179104,0.111940299,0.02238806,0.126865672,0.380597015,1,0,,,,,,,,,,,
P40157,236,364,128,0.2777,0.000098,54, nan, cytoplasm,3.033,2,0,6,8,2,3,0,3,10,3,1,4,5,5,1,3,7,2,1,1,0.208955224,0.164179104,0.149253731,0.059701493,0.134328358,0.28358209,,,,,,,,,,,,,
Q04305,7,357,350,0.1193,0.00096,6, False, nucleus; nucleolus,3.004,7,0,6,6,3,11,4,5,15,6,0,15,8,11,8,17,13,2,0,3,0.085714286,0.164285714,0.185714286,0.042857143,0.092857143,0.428571429,1,1,,,,,,,,,,,
P54838,12,348,336,0.4353,0.000159,90, False, ,2.968,6,0,11,16,3,31,0,0,17,5,1,12,6,1,6,14,7,4,0,0,0.192857143,0.164285714,0.307142857,0.021428571,0.071428571,0.242857143,17,0,,,,,,,,,,,
Q12149,131,511,380,0.2438,0.000057,42, True, nucleus; nucleolus; nucleus,2.987,5,0,12,21,1,8,1,7,15,10,0,9,10,6,8,16,4,3,0,4,0.235714286,0.164285714,0.164285714,0.035714286,0.142857143,0.257142857,1,0,,,,,,,,,,,
P19263,620,1073,453,0.2248,0.000118,30, False, nucleus,2.742,4,0,13,16,3,13,7,6,22,10,5,26,10,19,13,25,12,4,1,4,0.136150235,0.164319249,0.126760563,0.037558685,0.117370892,0.417840376,1,1,,,,,,,,,,,
P38167,797,877,80,0.1954,3.00E-06,18, nan, cytoplasm,3.966,0,1,2,4,3,2,4,5,7,9,1,3,7,2,5,6,5,4,0,3,0.082191781,0.164383562,0.123287671,0.082191781,0.260273973,0.287671233,,,,,,,,,,,,,
P36121,77,185,108,0.2506,0,42, True, nucleus,3.545,7,0,3,9,5,6,1,2,8,2,1,4,4,5,4,5,0,6,0,1,0.164383562,0.164383562,0.232876712,0.082191781,0.150684932,0.205479452,,,,,,,,,,,,,
P22216,16,163,147,0.3894,0.000731,78, nan, nucleus,2.538,1,0,6,8,1,10,0,2,7,1,0,9,2,8,5,7,3,3,0,0,0.191780822,0.164383562,0.178082192,0.01369863,0.082191781,0.369863014,,,,,,,,,,,,,
P39979,10,143,133,0.4521,0.000192,90, nan, nucleus; cytoplasm,3.071,4,0,5,10,1,6,3,1,7,3,1,2,5,2,5,2,7,4,1,4,0.205479452,0.164383562,0.205479452,0.082191781,0.123287671,0.219178082,,,,,,,,,,,,,
Q06245,14,97,83,0.1851,0.00009,18, nan, ,3.315,3,0,7,8,2,2,0,4,8,8,0,9,2,4,4,2,5,3,1,1,0.205479452,0.164383562,0.095890411,0.054794521,0.205479452,0.273972603,,,,,,,,,,,,,
P47166,619,693,74,0.2453,0.000162,42, nan, golgi apparatus,3.403,1,0,7,13,1,1,1,1,10,13,3,5,0,5,2,3,3,4,0,0,0.273972603,0.164383562,0.02739726,0.01369863,0.287671233,0.232876712,,,,,,,,,,,,,
P28817,38,498,460,0.3947,0.001533,78, False, mitochondrion,2.804,9,0,12,18,3,17,0,1,17,4,0,13,11,9,8,12,11,6,0,1,0.197368421,0.164473684,0.243421053,0.026315789,0.072368421,0.296052632,,,,,,,,,,,,,
P32377,3,393,390,0.5724,0.001097,90, True, ,2.693,10,0,13,22,2,16,5,1,17,4,1,5,10,9,8,14,11,3,0,1,0.230263158,0.164473684,0.236842105,0.019736842,0.059210526,0.289473684,21,3,,,,,,,,,,,
P32634,1107,1234,127,0.1921,4.00E-06,18, nan, cytoplasm,3.651,6,0,3,9,1,4,0,7,9,8,0,4,4,5,5,8,4,2,0,6,0.141176471,0.164705882,0.164705882,0.082352941,0.2,0.247058824,,,,,,,,,,,,,
Q12354,4,224,220,0.4305,0.001224,78, True, nucleus; cytoplasm,2.802,5,0,6,6,0,15,2,2,12,1,1,6,8,7,2,7,2,2,1,0,0.141176471,0.164705882,0.329411765,0.011764706,0.070588235,0.282352941,4,0,,,,,,,,,,,
P36152,4,320,316,0.189,0.000257,18, False, cytoplasm; mitochondrion intermembrane space,3.461,10,5,28,20,9,14,1,13,38,11,5,12,11,11,4,28,21,12,0,2,0.188235294,0.164705882,0.137254902,0.043137255,0.160784314,0.305882353,4,3,,,,,,,,,,,
P39960,1214,1747,533,0.1348,0.000028,6, False, ,2.955,6,2,25,32,6,10,5,12,29,13,3,24,10,14,13,21,17,9,1,3,0.223529412,0.164705882,0.101960784,0.039215686,0.145098039,0.325490196,2,1,,,,,,,,,,,
Q92317,15,125,110,0.4114,0.001272,78, False, nucleus,3.251,1,0,5,18,4,3,0,9,11,4,3,4,2,6,3,8,3,1,0,0,0.270588235,0.164705882,0.070588235,0.047058824,0.2,0.247058824,,,,,,,,,,,,,
Q08421,42,225,183,0.2158,0.000178,30, False, nucleus,2.625,2,0,15,16,2,4,5,3,13,5,0,4,1,1,1,8,2,2,0,1,0.364705882,0.164705882,0.082352941,0.035294118,0.117647059,0.235294118,4,3,,,,,,,,,,,
Q03430,223,358,135,0.2021,0.014913,30, nan, mitochondrion,3.734,1,1,2,8,3,6,2,4,13,10,0,5,7,5,2,9,4,6,0,3,0.10989011,0.164835165,0.153846154,0.065934066,0.21978022,0.285714286,,,,,,,,,,,,,
Q06407,784,1005,221,0.1967,0.000063,18, nan, ,3.019,6,0,9,8,2,7,1,4,7,3,2,8,4,5,8,10,4,2,0,1,0.186813187,0.164835165,0.186813187,0.032967033,0.120879121,0.307692308,,,,,,,,,,,,,
P53270,9,470,461,0.2457,0.004026,42, nan, ,2.838,11,0,20,16,4,19,4,3,24,4,3,20,6,4,6,16,11,5,0,6,0.197802198,0.164835165,0.197802198,0.054945055,0.082417582,0.302197802,,,,,,,,,,,,,
Q04949,26,264,238,0.2904,0.14102,54, nan, cytoplasm; cytoskeleton,2.654,2,0,12,10,1,5,4,1,10,5,1,8,2,4,5,7,10,3,0,1,0.241758242,0.164835165,0.098901099,0.021978022,0.10989011,0.362637363,,,,,,,,,,,,,
P32844,99,239,140,0.2403,0.00001,42, nan, cytoplasm,3.488,8,0,8,16,2,3,0,6,7,4,2,3,1,1,8,7,6,5,0,4,0.263736264,0.164835165,0.131868132,0.065934066,0.186813187,0.186813187,,,,,,,,,,,,,
P23561,501,711,210,0.1794,0.000645,18, nan, ,2.902,4,0,3,8,2,12,2,2,12,6,1,9,5,9,4,8,5,0,1,4,0.113402062,0.164948454,0.216494845,0.072164948,0.092783505,0.340206186,,,,,,,,,,,,,
P38697,23,500,477,0.2553,0.00028,42, False, cytoplasm,2.957,9,1,12,18,4,43,1,3,20,2,2,16,3,12,12,12,14,7,0,3,0.154639175,0.164948454,0.283505155,0.036082474,0.072164948,0.288659794,8,1,,,,,,,,,,,
P25635,672,847,175,0.1473,0.002613,6, True, nucleus; nucleolus,3.659,6,0,7,9,4,4,1,5,8,7,1,6,4,4,8,4,7,7,0,5,0.164948454,0.164948454,0.144329897,0.092783505,0.206185567,0.226804124,,,,,,,,,,,,,
P53889,5,247,242,0.3779,0.000033,78, True, mitochondrion,2.959,6,0,7,9,0,15,1,2,13,5,1,11,4,2,3,12,5,1,0,0,0.164948454,0.164948454,0.257731959,0,0.092783505,0.319587629,6,0,,,,,,,,,,,
P40302,6,225,219,0.3841,0.000055,78, True, nucleus; cytoplasm,2.642,2,0,10,9,2,16,1,0,8,3,0,7,3,7,8,7,6,3,0,5,0.195876289,0.164948454,0.216494845,0.072164948,0.06185567,0.288659794,10,0,,,,,,,,,,,
P11986,18,527,509,0.7882,0.124779,90, nan, cytoplasm,3.093,9,3,18,22,5,27,5,2,22,8,3,12,9,7,10,9,8,10,0,5,0.206185567,0.164948454,0.231958763,0.051546392,0.118556701,0.226804124,,,,,,,,,,,,,
